Sample,pH,EC,NTU,NO3,NH4,DO,Season ,Use
FP5,8.866666667,30.26666667,41.73333333,1,0,6.713333333,Dry,Aquaculture
FP4,8.946666667,30.83333333,22.2,1,0,6.8,Dry,Aquaculture
FP3,8.866666667,32.26666667,15.5,1,0,6.726666667,Dry,Aquaculture
FP2,8.88,41.6,17.83333333,1,0,6.626666667,Dry,Aquaculture
FP1,8.683333333,39.83333333,21.3,1,0,6.756666667,Dry,Aquaculture
FP5,4.726666667,7.053333333,40.33333333,51.1,0,1.666666667,Wet,Aquaculture
FP4,4.596666667,7.426666667,36.33333333,52.26666667,0,0.966666667,Wet,Aquaculture
FP3,6.063333333,12.03333333,43.66666667,45.06666667,0,1.266666667,Wet,Aquaculture
FP2,6.06,8.226666667,37.33333333,79.4,0,1.433333333,Wet,Aquaculture
FP1,5.646666667,7.266666667,38,25.96666667,0,2.366666667,Wet,Aquaculture
